"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","Black_per_arrest","White_per_arrest","total_per_arrest","Total_arest_over_total_pop","Black_arest_over_Black_pop","White_arest_over_white_pop","SIR_arrests","SIR_B","SIR_W"
"100",11100,2010,397,75,472,37,129,2993,163,2688,0.054460408,0.898095556,84.1135352679517,15.9076466850244,100,15.7696034212021,14.7687958037275,45.9840588595953,4.61112271317971,1.30415881518073,20.4859806792554
"101",11100,2011,370,85,458,37,129,3152,166,2726,0.052664975,0.864847716,80.7902204758786,18.5767299716219,100,14.5299958757654,13.5725028428891,51.1739915713426,4.24885656488936,1.19852500769766,22.8091118408377
"102",11100,2012,387,71,458,37,129,2901,286,2400,0.098586694,0.827300931,84.5012006112203,15.5206286836935,100,15.7871152321533,16.1243281529936,24.8164977280671,4.61610514387173,1.42380935609487,11.1842628291585
"103",11100,2013,398,74,475,37,129,2600,170,2359,0.065384615,0.907307692,83.792885708272,15.5967164807409,100,18.2685281335333,16.8708405747955,43.5038212815991,5.34106094488556,1.48971939948331,19.4023633303059
"104",11100,2014,420,91,511,37,129,2519,147,2289,0.058356491,0.908693926,82.195265114459,17.8243005282724,100,20.2850224286452,18.3478222882356,61.862678450034,5.93040430137561,1.62012255678135,27.480074501127
"105",11100,2015,305,113,419,37,129,2451,157,2218,0.064055488,0.904936761,72.7988546886185,26.9863994273443,100,17.0943657949492,13.750507190839,71.928707829408,4.99744816285318,1.21416387139289,32.0117030533375
"106",11100,2016,360,115,477,37,129,2419,402,1933,0.166184374,0.799090533,75.4768392370572,24.1249214001258,100,19.7180769707743,18.6229372510475,28.5998507833872,5.7643885223948,1.64431177021595,12.9468888226828
"107",11100,2017,445,175,623,37,129,2512,246,1990,0.097929936,0.792197452,71.4331567966619,28.1014283421602,100,24.799968154134,22.3606853926938,71.1093051605039,7.2503433981706,1.97435905205978,31.9673782410715
"108",11100,2018,434,111,546,37,129,2724,344,2036,0.126284875,0.74743025,79.4909357260575,20.3442592931697,100,20.0433170588451,21.3152595648544,32.258064516129,5.86023513083279,1.88206886376522,14.575873160561
"109",11200,2010,169,59,229,37,129,2538,1306,1212,0.514578408,0.477541371,73.8105630728939,25.7965953731995,100,9.02249714353256,13.94274399802,4.5172651404946,2.63778386419951,1.23077768944637,2.0606303232576
"110",11200,2011,219,91,310,37,129,2409,1256,1111,0.521378165,0.461187215,70.6546275395034,29.3776201225411,100,12.8678759702794,19.710197101971,7.24464612690072,3.76178048660498,1.73979001527249,3.3043240101291
"111",11200,2012,248,86,335,37,129,2131,1155,934,0.541999061,0.438291882,74.0376007162041,25.6938227394807,100,15.7195814368167,26.5496199550369,7.44524283611809,4.59474239375152,2.34318298420613,3.39476301383434
"112",11200,2013,208,61,269,37,129,2180,1212,945,0.555963303,0.433486239,77.3318468970643,22.7053140096618,100,12.3388835374524,22.0082530949106,5.03258807029123,3.60669141032392,1.94239567859296,2.29509592628225
"113",11200,2014,140,72,212,37,129,2160,1153,980,0.533796296,0.453703704,66.0537482319661,33.993399339934,100,9.81436044627564,14.2842567084991,6.24403781111786,2.86873160012402,1.26073155031472,2.84703764927531
"114",11200,2015,196,84,282,37,129,1983,1233,708,0.621785174,0.357034796,69.5143566111308,29.8121233605105,100,14.2201603549997,27.6797062561785,6.81209958640824,4.15605943422558,2.44226761694946,3.1068312666971
"115",11200,2016,211,113,326,37,129,2472,1177,1248,0.476132686,0.504854369,64.7347439435756,34.6826126954922,100,13.187168803851,16.9056966589216,9.5998640727211,3.85523734572258,1.49235630219868,4.37750872419977
"116",11200,2017,189,86,277,37,129,2527,1327,1173,0.525128611,0.464186783,68.2425117286178,31.0718152291591,100,10.9611808001266,16.1111584690137,6.48029538090573,3.20455472287541,1.42216113715264,2.95626107168631
"117",11200,2018,197,84,284,37,129,2540,1261,1254,0.496456693,0.493700787,69.376979936642,29.6022527279127,100,11.1806621786544,15.7084761980703,6.66085163745936,3.2687398677749,1.38667540715825,3.03809482958323
"118",11300,2010,131,309,449,37,129,1493,1173,213,0.785666443,0.142665774,29.1917167668671,68.8265419728346,100,30.0716629830554,61.4734866259972,26.3404654334669,8.78479992421747,5.41011296884378,12.0110166738208
